round,student_won,student_hp,opponent_hp,elapsed_frames,difficulty_level
122,False,0,109,2917,0.7499999999999998
123,True,9,0,3235,0.7499999999999998
124,False,1,37,3600,0.7499999999999998
125,True,165,47,3600,0.7499999999999998
126,True,69,0,2983,0.7499999999999998
127,True,5,0,3339,0.7499999999999998
128,True,28,25,3600,0.7499999999999998
129,True,98,0,3399,0.7499999999999998
130,True,17,0,3275,0.7499999999999998
131,True,92,0,2973,0.7499999999999998
132,False,67,124,3600,0.7499999999999998
133,False,0,20,2661,0.7499999999999998
134,True,105,0,2929,0.7499999999999998
135,True,100,0,2902,0.7499999999999998
136,True,235,0,3282,0.7499999999999998
137,False,0,34,3005,0.7499999999999998
138,False,0,0,3579,0.7499999999999998
139,True,85,0,3570,0.7499999999999998
140,True,40,0,3068,0.7499999999999998
141,True,155,0,2758,0.7499999999999998
142,True,162,0,3546,0.7499999999999998
143,False,0,69,3303,0.7999999999999998
144,True,7,0,3449,0.7999999999999998
145,True,44,0,3417,0.8499999999999999
146,True,142,0,2531,0.8999999999999999
147,False,5,89,3600,0.95
148,True,25,0,2834,0.95
149,False,43,67,3600,0.95
150,False,55,66,3600,0.95
151,True,61,0,3211,0.95
152,False,46,123,3600,0.95
153,False,0,43,2743,0.95
154,True,96,0,2464,0.95
155,False,0,156,2592,0.95
156,True,124,0,3335,0.95
157,False,0,84,3387,0.95
158,False,0,1,3205,0.95
159,True,90,0,2988,0.95
160,True,31,0,3182,0.95
161,True,19,18,3600,0.95
162,False,0,139,2725,0.95
163,True,51,46,3600,0.95
164,False,0,123,2646,0.95
165,True,118,0,2713,0.95
166,True,124,8,3600,0.95
167,False,0,57,3061,0.95
168,True,57,0,2673,0.95
169,True,44,0,2948,0.95
170,False,0,32,3598,0.95
171,True,161,3,3600,0.95
172,False,0,158,3476,0.95
173,True,80,0,2737,0.95
174,False,4,109,3600,0.95
175,True,121,0,2477,0.95
176,False,54,252,3600,0.95
177,True,147,0,3116,0.95
178,False,0,140,2371,0.95
179,False,0,195,3158,0.95
180,True,42,15,3600,0.95
181,False,0,165,3262,0.95
182,False,0,27,3303,0.95
183,False,0,95,3168,0.95
184,True,144,0,3241,0.95
185,True,22,4,3600,0.95
186,False,0,105,3453,0.95
187,False,40,97,3600,0.95
188,False,106,107,3600,0.95
189,False,39,88,3600,0.95
190,False,90,143,3600,0.95
191,False,0,135,2629,0.95
192,False,0,80,2505,0.95
193,True,177,0,3465,0.95
194,False,0,135,3401,0.95
